name,organization,date,location,death,type,na
Abdul Aziz Shaheen,Azadi,"August 29, 2008",Pakistan,Killed,Crossfire,
Abdul Hakim Shimul,Samakal,"February 3, 2017",Bangladesh,Killed,Dangerous Assignment,
Abdul Haq Baloch,ARY Television,"September 29, 2012",Pakistan,Killed,Murder,
Abdul Qadir Hajizai,WASH TV,"May 28, 2012",Pakistan,Killed,Murder,
Abdul Razzak Johra,Royal TV,"November 3, 2008",Pakistan,Killed,Murder,
Abdul Wahab,Express News,"December 6, 2010",Pakistan,Killed,Dangerous Assignment,
Achyutananda Sahu,Doordarshan,"October 30, 2018",India,Killed,Crossfire,
Ahmed Rajib Haider,Freelance,"February 15, 2013",Bangladesh,Killed,Murder,
Ahmed Rilwan Abdulla,Minivan News,"August 8, 2014",Maldives,Killed,Murder,
Aiyathurai Nadesan,Virakesari,"May 31, 2004",Sri Lanka,Killed,Murder,
Allah Noor,Khyber TV,"February 7, 2005",Pakistan,Killed,Murder,
Altaf Ahmed Faktoo,Doordarshan TV,"January 1, 1997",India,Killed,Murder,
Amir Nowab,Associated Press Television News and Frontier Post,"February 7, 2005",Pakistan,Killed,Murder,
Ananta Bijoy Das,Freelance,"May 12, 2015",Bangladesh,Killed,Murder,
Anil Mazumdar,Aji,"March 24, 2009",India,Killed,Murder,
Anura Priyantha,Independent Television Network,"December 18, 1999",Sri Lanka,Killed,Dangerous Assignment,
Asfandyar Khan,Akhbar-e-Khyber,"June 11, 2011",Pakistan,Killed,Dangerous Assignment,
Ashok Sodhi,Daily Excelsior,"May 11, 2008",India,Killed,Dangerous Assignment,
Asiya Jeelani,freelance,"April 20, 2004",India,Killed,Dangerous Assignment,
Aslam Durrani,Daily Pakistan,"April 16, 2013",Pakistan,Killed,Dangerous Assignment,
Abdul Aziz Shaheen,Azadi,"August 29, 2008",Pakistan,Killed,Crossfire,
Abdul Hakim Shimul,Samakal,"February 3, 2017",Bangladesh,Killed,Dangerous Assignment,
Abdul Haq Baloch,ARY Television,"September 29, 2012",Pakistan,Killed,Murder,
Abdul Qadir Hajizai,WASH TV,"May 28, 2012",Pakistan,Killed,Murder,
Abdul Razzak Johra,Royal TV,"November 3, 2008",Pakistan,Killed,Murder,
Abdul Wahab,Express News,"December 6, 2010",Pakistan,Killed,Dangerous Assignment,
Achyutananda Sahu,Doordarshan,"October 30, 2018",India,Killed,Crossfire,
Ahmed Rajib Haider,Freelance,"February 15, 2013",Bangladesh,Killed,Murder,
Ahmed Rilwan Abdulla,Minivan News,"August 8, 2014",Maldives,Killed,Murder,
Aiyathurai Nadesan,Virakesari,"May 31, 2004",Sri Lanka,Killed,Murder,
Allah Noor,Khyber TV,"February 7, 2005",Pakistan,Killed,Murder,
Altaf Ahmed Faktoo,Doordarshan TV,"January 1, 1997",India,Killed,Murder,
Amir Nowab,Associated Press Television News and Frontier Post,"February 7, 2005",Pakistan,Killed,Murder,
Ananta Bijoy Das,Freelance,"May 12, 2015",Bangladesh,Killed,Murder,
Anil Mazumdar,Aji,"March 24, 2009",India,Killed,Murder,
Anura Priyantha,Independent Television Network,"December 18, 1999",Sri Lanka,Killed,Dangerous Assignment,
Asfandyar Khan,Akhbar-e-Khyber,"June 11, 2011",Pakistan,Killed,Dangerous Assignment,
Ashok Sodhi,Daily Excelsior,"May 11, 2008",India,Killed,Dangerous Assignment,
Asiya Jeelani,freelance,"April 20, 2004",India,Killed,Dangerous Assignment,
Aslam Durrani,Daily Pakistan,"April 16, 2013",Pakistan,Killed,Dangerous Assignment,
Abdul Aziz Shaheen,Azadi,"August 29, 2008",Pakistan,Killed,Crossfire,
Abdul Hakim Shimul,Samakal,"February 3, 2017",Bangladesh,Killed,Dangerous Assignment,
Abdul Haq Baloch,ARY Television,"September 29, 2012",Pakistan,Killed,Murder,
Abdul Qadir Hajizai,WASH TV,"May 28, 2012",Pakistan,Killed,Murder,
Abdul Razzak Johra,Royal TV,"November 3, 2008",Pakistan,Killed,Murder,
Abdul Wahab,Express News,"December 6, 2010",Pakistan,Killed,Dangerous Assignment,
Achyutananda Sahu,Doordarshan,"October 30, 2018",India,Killed,Crossfire,
Ahmed Rajib Haider,Freelance,"February 15, 2013",Bangladesh,Killed,Murder,
Ahmed Rilwan Abdulla,Minivan News,"August 8, 2014",Maldives,Killed,Murder,
Aiyathurai Nadesan,Virakesari,"May 31, 2004",Sri Lanka,Killed,Murder,
Allah Noor,Khyber TV,"February 7, 2005",Pakistan,Killed,Murder,
Altaf Ahmed Faktoo,Doordarshan TV,"January 1, 1997",India,Killed,Murder,
Amir Nowab,Associated Press Television News and Frontier Post,"February 7, 2005",Pakistan,Killed,Murder,
Ananta Bijoy Das,Freelance,"May 12, 2015",Bangladesh,Killed,Murder,
Anil Mazumdar,Aji,"March 24, 2009",India,Killed,Murder,
Anura Priyantha,Independent Television Network,"December 18, 1999",Sri Lanka,Killed,Dangerous Assignment,
Asfandyar Khan,Akhbar-e-Khyber,"June 11, 2011",Pakistan,Killed,Dangerous Assignment,
Ashok Sodhi,Daily Excelsior,"May 11, 2008",India,Killed,Dangerous Assignment,
Asiya Jeelani,freelance,"April 20, 2004",India,Killed,Dangerous Assignment,
Aslam Durrani,Daily Pakistan,"April 16, 2013",Pakistan,Killed,Dangerous Assignment,
Abdul Aziz Shaheen,Azadi,"August 29, 2008",Pakistan,Killed,Crossfire,
Abdul Hakim Shimul,Samakal,"February 3, 2017",Bangladesh,Killed,Dangerous Assignment,
Abdul Haq Baloch,ARY Television,"September 29, 2012",Pakistan,Killed,Murder,
